# De Novo Monomer Dataset compiled by Daniel Peñas-Utrilla and Enrique Marcos (July 2022)

# Designs were collected from the following references:

# id Reference
#-------------------------------------------------------------
#  1  Koga N et al.,Nature(2012). doi:10.1038/nature11600 
#  2  Lin YR et al.,PNAS(2015). doi: 10.1073/pnas.1509508112
#  3  Brunette TJ et al.,Nature(2015). doi:10.1038/nature16162
#  4  Doyle L et al.,Nature(2015). doi:10.1038/nature16191
#  5  Marcos E et al.,Science(2017). doi:10.1126/science.aah7389
#  6  Dou J et al.,Nature(2018). doi:10.1038/s41586-018-0509-0
#  7  Marcos E et al.,Nat.Struct.Mol.Biol.(2018). doi:10.1038/s41594-018-0141-6
#  8  Basanta B et al.,PNAS(2020). doi:10.1073/pnas.2005412117
#  9  Pan X et al.,Science(2020). doi:10.1126/science.abc0881
# 10  Minami S et al.,Biorxiv(2021). doi:10.1101/2021.08.06.455475
# 11  Chidyausiku TM et al.,Biorxiv(2021). doi:10.1101/2021.12.20.472081
# 12  Kuhlman B et al.,Science(2003). doi:10.1126/science.1089427
# 13  Huang PS et al.,Nat.Chem.Biol.(2016). doi:10.1038/nchembio.1966
# 13  Rocklin GJ et al.,Science(2017). doi:10.1126/science.aan0693

# the pdb field below corresponds to the name of the design as reported in the corresponding reference plus a ".0" or ".1" suffix if the design was considered unsuccessful or successful, respectively.
# succesful designs were those reported to be predominantly monomeric by SEC-MALS and had a circular dichroism spectra compatible with the design structure

pdb,median_plddt_CF,median_min_plddt_CF,median_res_plddt75_CF,median_rmsd_intra,median_rmsd_alone,median_inter_nres,max_inter_nres,median_buried_hydrophobic_surface,median_ddg,median_sasa_interface,median_monomer_hpatch,median_monomer_sap_score,median_total_score_monomer_relax,graph_solubility,Soluprot_solubility,net_charge72,median_plddt,plddt_bm,plddt_wm,min_plddt_bm,median_%_res_plddt_upper75,median_q_score,q_score_bm,q_score_wm,median_CA_rms,mean_CA_rms_bm,max_CA_rms_bm,mean_CA_rms_wm,median_%_res_CA_rms_low15,perc_low_rms,tot_exp,maxrmsd,maxavg,av_all_low3_rms,hpatch_monomer,SAP_monomer,total_score_monomer,monomer,reference_id
Fd_9A-3.1,74.52,62.38,50.54,0.25,1.28,0.0,7,111.27,-6.75,97.15,1.52,18.86,-6.24,0.727,0.8187,6.67,78.16,84.11,76.57,77.81,69.47,0.86,0.87,0.85,0.96,0.94,1.22,1.0,96.84,77.0,68261.9,1.84,2.4,0.35,2.08,23.27,-3.24,1,2
Fd_9A-4.0,75.52,66.54,57.06,0.24,0.57,0.0,4,118.85,-12.69,279.29,1.12,29.04,-6.4,0.7,0.8821,0.68,83.4,86.44,76.95,78.68,96.84,0.86,0.87,0.86,1.01,0.92,1.22,1.02,93.68,80.4,58607.2,1.83,2.26,0.39,0.8,29.79,-3.34,0,2
Fd_9A-5.1,74.23,63.52,47.83,0.13,0.52,3.5,7,111.94,-25.07,489.55,0.56,18.98,-6.26,0.759,0.9543,-7.34,83.5,84.89,79.07,72.9,93.68,0.89,0.9,0.87,0.8,0.79,1.11,0.89,96.84,83.8,55672.2,0.56,2.22,0.28,0.48,19.15,-3.26,1,2
Fd_9A-6.1,85.16,71.21,98.37,0.08,0.3,0.0,2,118.96,-7.26,42.54,0.96,12.88,-6.9,0.725,0.911,-2.31,89.21,89.36,87.29,81.84,96.84,0.82,0.84,0.81,1.14,1.08,1.58,1.24,89.47,79.9,68745.3,1.63,2.83,0.33,0.0,16.14,-3.57,1,2
Fd_9A-7.0,76.9,60.78,64.68,0.12,0.48,0.5,3,111.82,-14.43,455.04,1.68,17.61,-6.26,0.766,0.9222,2.68,83.84,85.52,81.87,74.09,90.53,0.87,0.88,0.86,0.93,0.86,1.19,0.98,96.84,82.9,54826.1,1.16,2.18,0.31,0.8,18.39,-3.28,0,2
Fd_9A-8.0,76.66,64.4,69.02,0.1,1.3,1.5,15,117.68,-5.4,210.4,1.44,20.23,-6.48,0.729,0.9479,-1.32,84.21,87.73,80.95,76.44,92.63,0.85,0.86,0.85,0.97,0.94,1.16,1.0,96.84,81.3,60673.0,2.08,2.39,0.34,0.48,21.94,-3.4,0,2
Fd_9A-9.1,78.5,67.44,72.28,0.11,0.37,1.0,1,112.7,-9.84,229.82,2.4,17.98,-6.51,0.708,0.9021,3.68,85.47,86.06,82.89,74.7,94.74,0.85,0.86,0.84,1.02,0.98,1.48,1.07,95.79,81.3,66349.1,1.45,2.85,0.34,1.12,25.02,-3.43,1,2
HBI_b_01.0,87.2,58.21,88.57,0.12,18.92,72.0,74,101.86,-252.52,4035.74,36.08,93.34,-5.18,0.608,0.6554,4.37,94.65,95.27,88.97,84.63,97.22,0.72,0.73,0.72,1.76,1.62,4.2,1.77,43.52,53.6,540197.3,1.71,5.57,0.56,8.8,44.41,-3.53,0,6
HBI_b_02.0,80.53,53.69,76.19,0.15,0.38,11.0,14,113.67,-20.23,711.87,18.72,49.26,-6.46,0.614,0.7737,-3.38,85.05,90.36,83.33,70.87,88.89,0.61,0.62,0.58,3.01,2.76,7.57,3.94,3.7,53.4,478858.2,3.13,5.42,0.64,28.16,52.58,-3.39,0,6
HBI_b_03.0,81.34,58.66,81.9,0.05,0.84,7.5,10,93.98,-3.99,208.32,9.76,41.49,-6.5,0.635,0.7689,-3.44,87.28,92.16,83.44,71.53,90.74,0.75,0.78,0.75,1.46,1.33,3.48,1.52,63.89,50.7,542087.8,1.73,5.58,0.59,6.88,45.62,-3.37,0,6
HBI_b_04.0,90.06,75.35,99.52,0.06,0.26,9.5,12,100.9,-14.45,502.56,4.8,28.94,-6.8,0.574,0.7832,-0.5,94.69,94.94,91.19,88.55,97.22,0.88,0.88,0.87,0.84,0.83,1.29,0.85,97.22,53.8,511291.3,1.8,5.61,0.56,4.32,28.72,-3.6,0,6
HBI_b_05.0,86.35,57.08,92.38,0.1,0.69,11.5,16,99.64,-17.3,533.12,13.44,35.56,-6.51,0.603,0.7095,2.4,90.46,94.26,85.7,74.07,94.44,0.79,0.79,0.78,1.29,1.26,2.92,1.32,78.7,52.5,532111.5,1.86,5.13,0.52,8.0,31.89,-3.52,0,6
HBI_b_07.0,82.5,50.17,81.9,0.07,0.38,12.0,12,102.56,-19.1,698.95,10.96,38.66,-6.51,0.622,0.6506,3.43,92.29,92.79,89.58,65.37,92.59,0.87,0.87,0.86,0.85,0.86,2.76,0.88,94.44,53.7,553498.9,1.68,5.5,0.54,4.96,43.13,-3.39,0,6
HBI_b_08.0,82.92,53.45,85.71,0.13,0.53,16.0,22,111.94,-31.43,953.84,7.04,55.96,-6.52,0.603,0.8043,-1.61,90.42,91.48,87.99,76.0,93.52,0.8,0.82,0.8,1.22,1.1,5.72,1.23,78.7,54.4,384703.6,1.04,4.5,0.48,4.16,50.56,-3.52,0,6
HBI_b_09.0,80.08,52.07,78.57,0.09,0.36,8.0,10,105.0,-15.32,518.34,5.84,38.88,-6.58,0.582,0.7408,-1.39,90.65,91.69,88.3,66.54,93.52,0.82,0.83,0.82,1.13,1.06,4.16,1.13,89.81,55.9,354861.0,1.01,4.32,0.46,4.0,42.71,-3.56,0,6
HBI_b_11.1,87.1,64.76,94.29,0.07,0.5,3.5,9,99.85,-0.72,2.56,9.76,45.12,-6.84,0.603,0.7304,-1.59,93.37,94.86,87.09,77.69,95.37,0.71,0.74,0.7,1.86,1.53,2.85,1.99,26.85,52.4,555904.6,2.78,5.64,0.58,12.0,40.75,-3.57,1,6
HBI_b_12.0,81.65,51.46,81.9,0.07,0.64,9.5,13,94.66,-13.51,615.38,12.88,42.26,-6.36,0.484,0.4743,2.64,92.24,93.63,89.39,69.77,93.52,0.68,0.71,0.61,2.16,1.81,5.27,3.11,12.96,52.9,615591.0,2.71,5.49,0.6,13.28,48.56,-3.41,0,6
HBI_b_13.0,84.66,53.78,83.33,0.07,0.36,10.0,17,99.64,-15.96,490.08,11.28,47.79,-6.32,0.615,0.6729,-0.56,87.09,88.88,83.62,66.38,89.81,0.78,0.79,0.78,1.33,1.3,2.62,1.33,71.3,55.1,452670.4,1.14,5.17,0.51,12.48,42.64,-3.42,0,6
HBI_b_14.0,84.99,53.84,86.19,0.16,0.35,17.0,20,112.38,-23.75,648.67,5.68,37.4,-6.48,0.565,0.6422,1.38,88.18,89.89,83.73,69.67,89.81,0.87,0.88,0.87,0.84,0.82,2.18,0.85,94.44,55.6,531795.3,0.99,5.14,0.47,4.64,39.19,-3.38,0,6
HBI_b_16.0,80.26,57.98,80.95,0.12,0.44,7.0,11,107.6,-17.88,442.16,3.84,39.19,-6.44,0.562,0.4481,-0.44,91.9,94.19,88.81,85.94,96.3,0.83,0.84,0.82,1.06,0.99,3.08,1.09,93.52,55.3,390090.0,1.14,4.53,0.47,7.2,44.33,-3.32,0,6
HBI_b_17.0,84.49,55.52,88.57,0.11,0.44,10.5,24,104.44,-20.12,614.68,13.36,38.48,-6.58,0.499,0.462,2.61,91.94,95.73,88.77,84.71,96.3,0.72,0.73,0.69,1.79,1.7,4.06,2.04,41.67,54.4,588725.2,2.7,5.48,0.57,28.64,45.08,-3.59,0,6
HBI_b_18.0,81.06,48.69,80.0,0.09,0.37,14.5,19,104.42,-17.88,617.75,9.36,48.26,-6.35,0.581,0.7738,-0.64,87.56,89.77,84.59,62.51,92.59,0.83,0.84,0.82,1.05,0.99,2.76,1.05,87.96,53.3,402847.2,2.13,4.75,0.55,4.16,45.96,-3.3,0,6
HBI_b_20.0,82.21,61.11,78.57,0.06,0.48,11.0,12,104.65,-9.2,383.19,6.24,33.14,-6.74,0.599,0.7896,0.56,90.93,94.18,88.37,79.11,93.52,0.8,0.81,0.8,1.2,1.18,3.54,1.23,84.26,54.8,482993.4,2.07,5.66,0.58,6.72,39.0,-3.58,0,6
HBI_b_23.0,88.4,56.61,90.96,0.18,1.09,18.0,73,103.65,-28.29,892.37,24.72,42.8,-6.74,0.49,0.4885,1.61,92.85,94.15,87.79,68.71,94.44,0.74,0.76,0.73,1.62,1.49,7.33,1.67,58.33,54.0,598545.0,2.72,5.53,0.57,5.28,42.17,-3.55,0,6
HBI_b_25.0,86.24,53.92,90.96,0.08,0.78,12.0,16,107.2,-19.11,612.11,13.28,55.14,-6.98,0.502,0.7317,2.49,89.66,92.19,85.28,60.38,94.44,0.85,0.85,0.84,0.97,0.95,2.99,1.02,92.59,53.6,461045.4,2.68,5.5,0.55,10.24,53.21,-3.53,0,6
HBI_b_28.0,75.3,55.83,59.04,0.13,0.44,7.0,9,107.39,-14.61,588.32,6.24,48.85,-6.34,0.572,0.6481,-3.38,91.23,91.96,85.49,80.43,95.37,0.83,0.85,0.82,1.02,0.92,1.74,1.06,94.44,55.9,381474.0,2.65,4.41,0.48,9.6,48.14,-3.44,0,6
HBI_b_29.0,80.32,51.68,78.57,0.08,0.52,13.0,15,105.34,-27.09,902.42,13.36,43.1,-6.6,0.487,0.4519,2.67,91.87,94.39,88.58,78.9,95.37,0.68,0.7,0.68,2.06,1.96,5.2,2.17,34.26,53.8,614046.3,2.71,5.49,0.56,11.2,53.01,-3.55,0,6
HBI_b_30.0,84.88,61.2,88.57,0.09,0.3,12.0,16,105.27,-17.23,520.5,7.68,40.28,-6.3,0.512,0.6962,-2.42,89.44,90.67,86.36,65.37,90.74,0.79,0.82,0.77,1.22,1.1,2.57,1.37,81.48,55.0,466665.3,1.61,5.6,0.53,7.2,43.91,-3.23,0,6
HBI_b_31.0,85.23,39.89,88.1,0.47,17.02,63.5,71,101.06,-236.45,4012.18,36.64,93.94,-5.08,0.616,0.7561,1.43,88.18,92.04,84.09,48.07,92.59,0.78,0.79,0.77,1.39,1.3,6.72,1.42,78.7,52.1,558693.8,3.69,5.13,0.63,4.96,38.27,-3.48,0,6
HBI_b_32.1,86.71,55.76,90.48,0.11,0.34,14.0,18,108.45,-19.9,532.0,7.84,36.88,-6.87,0.614,0.8057,-1.5,88.9,91.32,86.79,63.26,93.52,0.78,0.79,0.78,1.33,1.28,4.13,1.35,82.41,54.0,468075.6,1.74,5.54,0.56,7.2,34.36,-3.53,1,6
HBI_b_35.0,65.84,49.3,9.04,0.11,0.56,11.0,20,104.84,-18.64,787.48,11.76,51.33,-6.36,0.641,0.8157,0.5,83.17,87.31,77.3,68.74,90.74,0.8,0.81,0.79,1.2,1.14,3.95,1.26,83.33,52.9,549235.7,1.42,5.4,0.51,11.84,52.17,-3.41,0,6
HBI_b_37.0,88.22,75.13,100.0,0.16,0.31,13.0,15,106.94,-20.74,608.92,5.52,43.03,-6.94,0.594,0.7843,-1.45,91.23,93.17,89.87,77.5,97.22,0.74,0.75,0.73,1.68,1.58,6.94,1.74,50.93,54.5,467118.2,3.55,5.64,0.59,6.24,47.34,-3.57,0,6
HBI_b_38.0,82.46,53.88,83.34,0.11,0.98,10.0,14,105.65,-21.27,577.96,8.64,44.16,-6.7,0.626,0.8022,-1.56,88.12,93.52,85.69,79.64,93.52,0.76,0.77,0.75,1.5,1.45,5.69,1.6,64.81,53.1,518996.4,2.8,5.65,0.58,7.04,38.11,-3.46,0,6
HBI_b_39.0,83.48,64.5,87.62,0.08,0.45,8.5,13,107.74,-13.35,334.18,5.12,39.08,-6.78,0.529,0.7689,-2.5,90.13,90.95,86.13,75.83,94.44,0.83,0.85,0.82,1.03,0.95,3.18,1.12,90.74,59.4,319262.6,2.18,4.24,0.47,5.28,42.08,-3.65,0,6
HBI_b_40.0,87.52,63.88,94.29,0.07,0.29,12.0,14,102.19,-21.59,502.9,7.2,39.0,-6.72,0.587,0.6375,-0.55,92.67,94.28,89.36,81.58,97.22,0.8,0.81,0.8,1.22,1.12,3.4,1.22,82.41,54.1,456303.9,1.37,5.51,0.54,5.12,38.52,-3.5,0,6
HBI_b_41.0,80.96,49.7,77.62,0.07,0.57,19.0,25,102.57,-41.49,1233.71,18.4,53.3,-6.34,0.707,0.7512,-0.62,90.34,91.37,87.39,63.15,92.59,0.78,0.81,0.78,1.32,1.14,5.58,1.32,82.41,51.5,518455.4,2.91,5.5,0.58,13.92,55.52,-3.37,0,6
HBI_b_43.0,81.64,54.2,80.95,0.07,0.46,12.0,18,101.92,-8.27,450.69,6.88,32.67,-6.72,0.611,0.7721,-1.44,90.58,91.03,87.17,77.99,93.52,0.74,0.75,0.72,1.61,1.5,2.54,1.7,53.7,54.1,487908.6,1.65,5.45,0.55,6.08,36.38,-3.46,0,6
HBI_b_44.0,79.09,58.96,72.86,0.17,0.48,6.0,7,107.41,-6.09,198.58,9.76,46.58,-6.6,0.551,0.5377,5.44,91.13,93.75,88.28,81.12,97.22,0.86,0.86,0.85,0.9,0.89,1.26,0.91,97.22,53.5,449489.7,1.48,5.56,0.54,13.92,38.82,-3.6,0,6
HBI_b_45.0,84.96,67.97,92.85,0.07,0.28,10.0,16,108.61,-16.93,880.47,10.4,49.95,-6.9,0.568,0.8612,-2.5,89.33,90.71,84.88,80.78,97.22,0.65,0.66,0.64,2.72,2.48,7.93,2.72,9.26,54.9,486880.3,2.17,5.64,0.55,12.32,43.27,-3.63,0,6
HBI_b_46.0,82.35,51.4,80.95,0.08,0.56,12.5,22,103.73,-24.78,808.52,10.4,37.2,-6.59,0.604,0.6669,-0.61,93.37,94.31,92.14,81.77,97.22,0.75,0.76,0.73,1.48,1.46,5.66,1.66,58.33,54.4,436490.0,1.94,5.44,0.55,5.76,39.53,-3.57,0,6
HBI_b_47.0,76.17,57.35,54.76,0.15,1.77,5.5,9,92.6,-0.0,0.0,5.76,25.34,-6.26,0.65,0.7193,-4.47,85.59,91.01,80.46,70.59,87.04,0.62,0.63,0.62,2.88,2.68,5.97,2.9,0.0,53.7,474964.7,2.56,5.43,0.54,4.8,38.79,-3.44,0,6
HBI_b_51.0,82.02,54.02,80.0,0.13,0.46,10.0,16,97.47,-16.41,621.32,3.6,45.14,-6.28,0.634,0.8349,-1.65,87.71,88.99,85.34,57.17,88.89,0.85,0.85,0.84,0.93,0.91,1.82,0.99,94.44,53.6,394780.1,1.16,4.53,0.49,3.04,47.34,-3.38,0,6
HBI_b_53.0,77.82,57.4,70.95,0.11,0.54,4.5,7,96.71,-10.51,187.13,11.12,44.54,-6.64,0.678,0.7676,-4.5,83.6,88.14,80.2,68.09,86.11,0.82,0.85,0.8,1.08,0.94,1.41,1.17,88.89,54.9,440298.9,1.32,5.42,0.51,12.48,47.97,-3.57,0,6
Id_ff_1.0,49.09,28.28,0.0,0.23,7.75,4.0,39,114.64,-23.03,572.69,4.88,41.16,-5.14,0.528,0.7822,-1.44,67.79,79.23,62.55,53.88,20.25,0.69,0.72,0.68,2.34,2.05,5.81,2.44,26.58,53.3,148627.5,1.23,3.38,0.44,6.88,87.48,-3.09,0,6
Id_ff_2.0,65.4,40.1,6.41,0.13,6.86,3.0,7,113.25,-9.95,96.32,6.08,34.76,-6.01,0.547,0.8634,-1.44,72.08,81.81,67.06,49.22,38.27,0.7,0.71,0.69,2.2,2.02,5.24,2.31,28.4,48.5,207394.1,1.04,4.48,0.47,12.0,88.3,-2.84,0,6
MINIPROT_1.1,91.88,86.94,100.0,0.07,0.2,0.0,0,109.97,-0.0,0.0,2.72,11.48,-6.82,0.769,0.9515,-1.32,91.39,91.65,87.21,86.02,92.5,0.89,0.9,0.89,0.85,0.82,1.09,0.86,92.5,82.2,24716.2,0.57,2.4,0.23,0.96,15.07,-3.39,1,14
MINIPROT_2.1,82.66,38.75,88.89,0.41,1.29,1.0,5,107.48,-3.14,9.51,4.88,25.6,-5.46,0.661,0.6863,-0.27,85.05,86.64,81.38,43.83,83.33,0.83,0.84,0.83,1.2,1.15,3.65,1.2,77.08,64.8,59139.0,1.84,2.91,0.42,5.28,30.58,-2.94,1,14
MINIPROT_3.1,89.2,81.79,100.0,0.1,0.26,1.0,5,82.1,-3.86,23.59,2.56,5.0,-6.86,0.733,0.9541,-1.69,89.4,90.11,85.74,82.79,91.89,0.92,0.93,0.91,0.71,0.7,0.89,0.76,91.89,68.8,39761.9,0.66,3.39,0.33,1.44,4.3,-3.52,1,14
MINIPROT_4.1,79.23,44.47,86.67,0.28,0.79,7.5,14,121.8,-37.92,467.01,13.2,50.7,-5.56,0.553,0.9262,4.88,73.68,81.18,57.01,47.12,43.75,0.81,0.82,0.8,1.47,1.4,6.2,1.54,72.92,62.3,87960.0,2.26,4.11,0.48,13.76,49.88,-3.1,1,14
NF1-01.0,71.3,48.28,39.48,0.2,2.62,0.0,4,128.73,-0.0,0.0,3.28,21.02,-5.9,0.632,0.5543,6.67,72.35,84.49,67.71,62.82,43.88,0.68,0.71,0.67,2.46,2.04,3.29,2.65,13.27,73.7,105443.3,1.35,3.65,0.34,3.84,18.89,-3.52,0,10
NF1-02.1,71.84,49.93,45.79,0.54,2.52,0.0,8,126.64,-2.44,4.36,2.08,27.2,-6.12,0.641,0.5678,2.68,76.98,86.22,75.47,62.74,66.33,0.67,0.69,0.67,2.6,2.5,4.66,2.66,0.0,74.2,74448.2,1.14,2.24,0.35,2.08,24.81,-3.59,1,10
NF1-03.0,69.98,49.75,33.16,0.53,2.58,0.0,5,129.42,-7.93,65.61,5.12,24.88,-5.66,0.658,0.5602,5.73,74.11,87.13,72.23,65.48,55.1,0.6,0.62,0.6,3.44,3.26,5.12,3.45,0.0,71.2,82312.0,0.73,2.31,0.28,6.72,18.06,-3.41,0,10
NF1-04.0,85.89,63.3,95.79,0.17,0.48,0.0,9,128.38,-0.0,0.0,4.88,19.77,-6.7,0.606,0.4641,7.73,77.26,87.66,71.51,66.36,64.29,0.65,0.66,0.63,2.84,2.6,5.91,3.17,0.0,65.0,192202.5,3.74,4.91,0.48,6.24,20.91,-3.62,0,10
NF1-05.0,71.91,49.32,40.52,0.14,2.44,1.5,3,122.81,-3.44,25.12,5.68,23.96,-6.04,0.644,0.574,6.73,74.48,86.98,70.52,63.12,56.12,0.56,0.6,0.56,4.79,3.93,6.34,4.79,0.0,68.1,91173.0,1.12,2.65,0.33,11.84,20.89,-3.61,0,10
NF1-06.0,71.88,48.18,43.16,0.2,1.06,3.0,7,138.94,-9.25,159.4,8.0,32.5,-6.3,0.63,0.4549,10.67,72.0,76.37,63.36,61.26,42.86,0.61,0.62,0.59,3.67,3.3,7.14,3.93,0.0,65.9,161412.0,3.21,4.56,0.44,4.96,33.07,-3.3,0,10
NF1-07.0,88.12,70.64,96.84,0.08,0.25,3.0,7,142.28,-5.22,30.76,1.52,25.26,-7.25,0.652,0.6877,-4.32,89.64,90.11,87.78,77.43,96.94,0.82,0.83,0.81,1.15,1.08,1.58,1.2,86.73,70.3,88762.6,0.76,2.64,0.33,2.4,23.53,-3.79,0,10
NF1-08.1,68.32,51.44,19.48,0.24,2.5,1.0,5,145.2,-6.8,279.73,3.84,34.75,-6.3,0.702,0.7599,-2.33,90.88,91.34,68.16,80.36,96.94,0.62,0.68,0.55,4.15,3.04,5.63,5.98,0.0,73.1,75591.8,1.05,2.12,0.3,4.32,26.01,-3.83,1,10
NF1-09.0,82.21,62.42,89.47,0.11,2.58,1.0,8,138.6,-0.0,0.0,3.36,27.06,-6.77,0.665,0.8468,-2.33,71.32,73.33,69.25,59.15,31.63,0.82,0.84,0.79,1.23,1.08,3.73,1.47,85.71,68.3,141105.6,2.47,4.23,0.48,2.4,29.03,-3.06,0,10
NF1-10.1,68.34,51.15,15.78,0.16,0.96,0.0,0,127.02,-8.34,287.23,2.96,26.33,-6.29,0.728,0.8757,-2.33,70.27,74.21,67.5,57.04,27.55,0.78,0.81,0.77,1.52,1.34,1.9,1.58,66.33,75.6,77148.5,1.51,2.56,0.35,1.76,24.92,-3.24,1,10
NF1-11.0,67.31,50.87,7.37,0.25,0.54,0.0,5,134.61,-3.55,38.19,3.76,31.3,-6.47,0.703,0.8809,-1.33,67.62,70.54,56.7,56.87,7.14,0.56,0.57,0.55,4.86,4.75,8.23,5.24,0.0,70.7,90887.3,0.75,2.46,0.32,2.56,27.02,-3.52,0,10
NF1-12.0,65.9,50.94,2.11,0.19,1.23,0.0,1,139.45,-2.62,4.62,1.28,28.25,-6.42,0.605,0.7849,-2.32,69.13,84.09,65.06,65.25,16.33,0.65,0.68,0.61,3.03,2.56,5.54,3.43,0.0,70.0,110717.2,1.5,3.18,0.39,0.8,25.4,-3.4,0,10
NF1-13.1,79.9,59.36,85.26,0.1,2.69,0.0,8,139.62,-5.75,120.41,2.08,27.32,-6.7,0.624,0.8121,-1.32,74.14,90.76,70.08,81.29,52.04,0.82,0.86,0.71,1.15,0.96,1.37,2.32,87.76,68.7,98061.4,1.07,2.58,0.32,1.92,24.57,-3.79,1,10
NF1-14.1,75.12,60.22,54.21,0.21,2.8,1.0,4,141.81,-5.55,24.35,2.72,32.02,-6.46,0.656,0.8059,-2.33,76.63,90.29,59.48,71.57,66.33,0.62,0.63,0.58,3.48,3.16,4.58,4.2,0.0,77.5,67793.4,0.94,2.21,0.32,3.2,24.75,-3.76,1,10
NF1-15.1,84.68,71.4,96.84,0.09,0.42,1.0,3,138.89,-4.04,80.71,1.36,22.49,-7.22,0.644,0.8323,-3.33,70.33,83.32,69.12,72.54,23.47,0.77,0.79,0.75,1.63,1.43,2.64,1.73,38.78,77.5,70147.8,0.64,2.08,0.29,0.64,22.09,-3.64,1,10
NF1-16.0,65.0,51.48,1.05,0.1,0.76,0.0,5,133.53,-0.0,0.0,4.08,29.54,-6.61,0.696,0.9208,-2.32,75.93,80.22,72.74,68.89,54.08,0.69,0.73,0.66,2.46,1.93,4.24,2.97,1.02,62.8,175339.6,3.78,4.51,0.51,3.36,25.75,-3.55,0,10
NF2-01.1,89.77,81.29,100.0,0.05,0.2,0.0,0,111.41,0.0,0.0,0.72,12.14,-6.52,0.686,0.5658,-1.64,91.02,91.63,88.96,83.71,95.24,0.9,0.91,0.9,0.75,0.74,0.92,0.78,95.24,73.4,60599.5,0.63,2.76,0.28,0.16,13.5,-3.38,1,10
NF2-02.1,86.34,66.94,92.5,0.13,0.35,1.0,12,115.66,-3.31,62.42,1.68,17.8,-6.52,0.655,0.8183,-0.64,90.11,92.19,82.28,86.92,95.24,0.9,0.91,0.9,0.77,0.75,0.95,0.79,95.24,70.2,73226.3,0.68,3.24,0.31,4.16,15.94,-3.47,1,10
NF2-03.1,87.45,80.08,100.0,0.06,2.2,1.0,3,115.25,0.0,0.0,1.04,14.38,-6.8,0.665,0.7689,-2.64,90.21,90.6,85.98,74.37,95.24,0.9,0.91,0.9,0.79,0.74,0.92,0.81,95.24,63.1,138879.6,3.12,4.1,0.57,1.76,11.86,-3.41,1,10
NF2-04.1,80.74,71.09,92.5,0.13,0.49,0.0,2,114.61,-0.0,0.0,1.44,8.55,-6.52,0.608,0.8402,2.67,80.69,82.05,77.36,60.8,84.13,0.89,0.9,0.88,0.84,0.79,0.92,0.86,95.24,72.2,145934.6,4.12,4.51,0.63,0.48,5.99,-3.37,1,10
NF3-01.1,85.12,74.13,98.92,0.11,0.47,1.0,6,113.86,0.0,0.0,2.08,10.18,-6.78,0.716,0.8728,3.67,86.25,87.12,84.83,73.69,95.83,0.71,0.73,0.7,2.53,2.2,4.48,2.76,16.67,78.6,89140.3,1.0,2.28,0.28,2.4,9.74,-3.46,1,10
NF3-02.0,91.18,80.16,100.0,0.17,0.38,6.0,13,116.57,-14.77,346.1,0.96,12.43,-6.95,0.667,0.9293,-1.32,89.43,90.84,64.89,84.21,96.88,0.68,0.7,0.67,2.94,2.63,5.08,3.02,4.17,77.7,75655.6,1.05,2.4,0.28,1.6,12.22,-3.57,0,10
NF3-03.1,76.75,52.19,73.12,0.14,2.52,2.5,6,125.39,-6.03,22.04,2.08,17.43,-6.93,0.7,0.8549,2.67,87.84,91.41,85.74,83.38,96.88,0.64,0.68,0.62,3.47,2.66,4.82,3.47,0.0,79.9,71934.1,0.77,2.16,0.29,0.96,14.03,-3.9,1,10
NF3-04.1,84.56,76.1,100.0,0.07,1.64,0.0,6,112.03,-5.32,191.42,0.88,13.46,-6.84,0.665,0.8788,2.68,85.79,86.85,82.74,76.03,95.83,0.77,0.81,0.75,1.75,1.4,2.47,1.93,40.62,74.3,177118.9,1.05,3.71,0.32,0.96,12.76,-3.54,1,10
NF4-01.0,83.68,58.46,89.35,0.18,0.36,2.0,5,137.78,-4.07,130.44,3.76,31.7,-7.4,0.658,0.8907,-2.32,87.34,88.16,82.8,70.41,95.5,0.79,0.8,0.78,1.44,1.35,2.67,1.53,63.06,79.0,133570.4,1.91,4.06,0.3,4.16,37.76,-3.76,0,10
NF4-02.1,74.91,52.19,56.02,0.36,1.18,5.0,9,134.27,-8.48,213.86,3.28,30.52,-6.8,0.657,0.8596,-1.32,80.14,81.87,76.71,67.1,67.57,0.83,0.84,0.82,1.15,1.06,1.82,1.17,81.08,84.3,67084.0,0.7,2.47,0.26,3.52,32.72,-3.71,1,10
NF4-03.1,87.58,69.54,95.83,0.08,0.26,1.0,3,136.04,-4.33,70.47,11.2,30.59,-7.29,0.633,0.9344,-2.32,89.7,90.47,87.7,76.3,97.3,0.84,0.85,0.84,1.11,1.04,2.28,1.13,81.08,84.9,78170.0,0.77,2.52,0.25,7.84,33.93,-3.91,1,10
NF4-04.1,87.56,69.87,96.3,0.12,0.4,1.5,8,132.94,-5.76,75.09,2.64,29.68,-7.0,0.686,0.8994,-1.32,89.05,90.94,86.11,75.76,96.4,0.86,0.87,0.85,0.99,0.91,1.43,1.01,93.69,84.0,103099.4,1.64,3.61,0.3,3.84,27.03,-3.65,1,10
NF4-05.1,86.34,69.07,94.44,0.12,0.44,3.0,7,125.78,-9.48,111.76,2.64,22.51,-7.3,0.679,0.8754,-2.31,85.6,86.77,83.81,61.22,90.99,0.7,0.73,0.7,2.33,2.05,3.51,2.39,0.0,81.8,113180.6,2.38,3.87,0.31,2.4,28.36,-3.85,1,10
